System time;Event;X Gaze Data; Y Gaze Data 
1587052497011;Gaze;7117;2050
1587052497022;Gaze;7120;2050
1587052497033;Gaze;7144;2060
1587052497044;Gaze;7165;2071
1587052497055;Gaze;7172;2088
1587052497067;Gaze;7200;2132
1587052497078;Gaze;7213;2139
1587052497089;Gaze;7222;2105
1587052497100;Gaze;7222;2102
1587052497112;Gaze;7198;2088
1587052497122;Gaze;7181;2082
1587052497134;Gaze;7162;2070
1587052497145;Gaze;7158;2067
1587052497156;Gaze;7145;2059
1587052497167;Gaze;7132;2046
1587052497178;Gaze;7145;2046
1587052497189;Gaze;7113;2038
1587052497200;Gaze;7126;2041
1587052497212;Gaze;7185;2048
1587052497222;Gaze;7309;2070
1587052497234;Gaze;7420;2086
1587052497244;Gaze;7504;2099
1587052497255;Gaze;7666;2127
1587052497266;Gaze;7698;2133
1587052497277;Gaze;7752;2143
1587052497288;Gaze;7786;2150
1587052497300;Gaze;7791;2150
1587052497311;Gaze;7789;2149
1587052497321;Gaze;7791;2144
1587052497333;Gaze;7794;2141
1587052497345;Gaze;7795;2141
1587052497355;Gaze;7794;2142
1587052497367;Gaze;7794;2142
1587052497378;Gaze;7793;2140
1587052497389;Gaze;7785;2136
1587052497400;Gaze;7784;2136
1587052497412;Gaze;7783;2135
1587052497422;Gaze;7783;2136
1587052497434;Gaze;7783;2136
1587052497445;Gaze;7788;2138
1587052497455;Gaze;7790;2140
1587052497466;Gaze;7793;2143
1587052497478;Gaze;7795;2145
1587052497488;Gaze;7779;2151
1587052497500;Gaze;7773;2155
1587052497511;Gaze;7777;2158
1587052497521;Gaze;7781;2158
1587052497533;Gaze;7786;2155
1587052497544;Gaze;7783;2156
1587052497555;Gaze;7782;2156
1587052497566;Gaze;7778;2153
1587052497577;Gaze;7769;2151
1587052497588;Gaze;7762;2150
1587052497600;Gaze;7768;2149
1587052497611;Gaze;7783;2152
1587052497622;Gaze;7781;2152
1587052497633;Gaze;7780;2156
1587052497645;Gaze;7782;2155
1587052497656;Gaze;7781;2155
1587052497666;Gaze;7777;2149
1587052497678;Gaze;7777;2150
1587052497688;Gaze;7777;2150
1587052497700;Gaze;7776;2156
1587052497711;Gaze;7777;2159
1587052497722;Gaze;7778;2157
1587052497733;Gaze;7762;2160
1587052497744;Gaze;7751;2162
1587052497755;Gaze;7751;2161
1587052497766;Gaze;7689;2213
1587052497778;Gaze;7661;2237
1587052497788;Gaze;7622;2286
1587052497800;Gaze;7605;2298
1587052497811;Gaze;7602;2296
1587052497821;Gaze;7599;2284
1587052497833;Gaze;7586;2296
1587052497844;Gaze;7606;2297
1587052497855;Gaze;7593;2302
1587052497866;Gaze;7601;2301
1587052497878;Gaze;7605;2300
1587052497888;Gaze;7598;2294
1587052497900;Gaze;7595;2294
1587052497911;Gaze;7595;2292
1587052497922;Gaze;7597;2292
1587052497933;Gaze;7605;2292
1587052497944;Gaze;7605;2292
1587052497954;Gaze;7605;2292
1587052497966;Gaze;7604;2292
1587052497977;Gaze;7585;2298
1587052497988;Gaze;7590;2297
1587052497999;Gaze;7592;2297
1587052498012;Gaze;7598;2298
1587052498021;Gaze;7607;2297
1587052498033;Gaze;7620;2302
1587052498044;Gaze;7629;2304
1587052498056;Gaze;7614;2301
1587052498065;Gaze;7689;2186
1587052498075;Gaze;7692;2177
1587052498087;Gaze;7697;2164
1587052498099;Gaze;7693;2178
1587052498111;Gaze;7677;2231
1587052498121;Gaze;7687;2238
1587052498132;Gaze;7663;2282
1587052498143;Gaze;7628;2308
1587052498154;Gaze;7624;2312
1587052498165;Gaze;7622;2303
1587052498176;Gaze;7622;2302
1587052498187;Gaze;7618;2306
1587052498198;Gaze;7602;2305
1587052498209;Gaze;7574;2297
1587052498320;Gaze;7585;2208
1587052498332;Gaze;7577;2201
1587052498344;Gaze;7567;2203
1587052498354;Gaze;7567;2201
1587052498366;Gaze;7620;2162
1587052498377;Gaze;7647;2144
1587052498388;Gaze;7662;2134
1587052498399;Gaze;7680;2127
1587052498410;Gaze;7680;2128
1587052498421;Gaze;7727;2100
1587052498432;Gaze;7741;2092
1587052498443;Gaze;7755;2083
1587052498454;Gaze;7757;2084
1587052498466;Gaze;7755;2084
1587052498477;Gaze;7755;2083
1587052498487;Gaze;7755;2083
1587052498499;Gaze;7758;2084
1587052498510;Gaze;7765;2083
1587052498521;Gaze;7778;2085
1587052498532;Gaze;7779;2082
1587052498543;Gaze;7771;2081
1587052498554;Gaze;7734;2078
1587052498566;Gaze;7654;2051
1587052498577;Gaze;7504;2011
1587052498588;Gaze;7433;1993
1587052498599;Gaze;7388;1984
1587052498611;Gaze;7359;1991
1587052498621;Gaze;7347;1993
1587052498633;Gaze;7323;1993
1587052498643;Gaze;7327;1992
1587052498654;Gaze;7340;1996
1587052498666;Gaze;7340;2001
1587052498677;Gaze;7340;1997
1587052498687;Gaze;7331;2006
1587052498699;Gaze;7321;2019
1587052498710;Gaze;7318;2020
1587052498721;Gaze;7314;2017
1587052498732;Gaze;7249;1941
1587052498744;Gaze;7232;1927
1587052498754;Gaze;7227;1924
1587052498765;Gaze;7232;1929
1587052498777;Gaze;7231;1927
1587052498787;Gaze;7238;1929
1587052498799;Gaze;7236;1923
1587052498810;Gaze;7239;1907
1587052498821;Gaze;7240;1905
1587052498832;Gaze;7241;1905
1587052498843;Gaze;7240;1910
1587052498845;Gaze;7239;1911
1587052498854;Gaze;7242;1907
1587052498865;Gaze;7282;1912
1587052498877;Gaze;7279;1910
1587052498887;Gaze;7309;1911
1587052498899;Gaze;7329;1915
1587052498910;Gaze;7332;1916
1587052498921;Gaze;7353;1927
1587052498922;Gaze;7351;1926
1587052498932;Gaze;7361;1932
1587052498943;Gaze;7364;1935
1587052498954;Gaze;7362;1935
1587052498966;Gaze;7362;1937
1587052498977;Gaze;7366;1944
1587052498987;Gaze;7370;1941
1587052498999;Gaze;7372;1940
1587052499010;Gaze;7373;1938
1587052499020;Gaze;7371;1940
1587052499032;Gaze;7372;1939
1587052499044;Gaze;7373;1945
1587052499054;Gaze;7373;1943
1587052499066;Gaze;7374;1948
1587052499076;Gaze;7376;1947
1587052499087;Gaze;7373;1956
1587052499099;Gaze;7371;1947
1587052499110;Gaze;7371;1947
1587052499121;Gaze;7373;1948
1587052499133;Gaze;7373;1956
1587052499144;Gaze;7373;1956
1587052499154;Gaze;7377;1955
1587052499165;Gaze;7380;1953
1587052499176;Gaze;7386;1947
1587052499187;Gaze;7387;1946
1587052499199;Gaze;7384;1934
1587052499210;Gaze;7383;1934
1587052499221;Gaze;7382;1934
1587052499232;Gaze;7379;1935
1587052499244;Gaze;7374;1938
1587052499255;Gaze;7373;1937
1587052499266;Gaze;7342;1937
1587052499277;Gaze;7347;1938
1587052499288;Gaze;7349;1938
1587052499299;Gaze;7354;1939
1587052499310;Gaze;7361;1943
1587052499321;Gaze;7364;1945
1587052499332;Gaze;7370;1946
1587052499343;Gaze;7369;1940
1587052499354;Gaze;7365;1936
1587052499367;Gaze;7352;1918
1587052499376;Gaze;7355;1916
1587052499387;Gaze;7356;1916
1587052499399;Gaze;7362;1917
1587052499409;Gaze;7364;1918
1587052499420;Gaze;7367;1920
1587052499432;Gaze;7371;1924
1587052499443;Gaze;7371;1926
1587052499454;Gaze;7372;1927
1587052499454;Gaze;7372;1928
1587052499465;Gaze;7368;1928
1587052499476;Gaze;7366;1930
1587052499487;Gaze;7364;1930
1587052499499;Gaze;7360;1931
1587052499510;Gaze;7356;1931
1587052499520;Gaze;7346;1933
1587052499532;Gaze;7347;1933
1587052499543;Gaze;7344;1932
1587052499553;Gaze;7335;1939
1587052499565;Gaze;7333;1941
1587052499576;Gaze;7333;1942
1587052499587;Gaze;7343;1941
1587052499599;Gaze;7355;1938
1587052499610;Gaze;7359;1938
1587052499620;Gaze;7367;1940
1587052499632;Gaze;7368;1940
1587052499643;Gaze;7368;1940
1587052499654;Gaze;7366;1940
1587052499665;Gaze;7366;1939
1587052499676;Gaze;7366;1939
1587052499687;Gaze;7362;1938
1587052499698;Gaze;7361;1938
1587052499709;Gaze;7358;1938
1587052499720;Gaze;7353;1938
1587052499732;Gaze;7339;1936
1587052499743;Gaze;7346;1937
1587052499754;Gaze;7351;1924
1587052499766;Gaze;7351;1922
1587052499776;Gaze;7350;1921
1587052499787;Gaze;7341;1919
1587052499799;Gaze;7340;1920
1587052499810;Gaze;7340;1927
1587052499821;Gaze;7339;1929
1587052499831;Gaze;7340;1929
1587052499842;Gaze;7340;1929
1587052499853;Gaze;7340;1929
1587052499865;Gaze;7364;1931
1587052499876;Gaze;7367;1930
1587052499886;Gaze;7404;1930
1587052499899;Gaze;7424;1929
1587052499909;Gaze;7441;1931
1587052499920;Gaze;7444;1931
1587052499932;Gaze;7446;1931
1587052499943;Gaze;7446;1927
1587052499953;Gaze;7444;1931
1587052499964;Gaze;7449;1932
1587052499976;Gaze;7449;1932
1587052499986;Gaze;7449;1932
1587052499998;Gaze;7447;1934
1587052500009;Gaze;7447;1937
1587052500020;Gaze;7448;1939
