System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052497079;Fixation end;;
1587052497089;Fixation begin;7238;2052
1587052497101;Fixation end;;
1587052497112;Fixation begin;7145;2041
1587052497123;Fixation begin;7126;2057
1587052497134;Fixation data;7127;2054
1587052497146;Fixation data;7125;2051
1587052497156;Fixation data;7116;2043
1587052497168;Fixation data;7105;2037
1587052497179;Fixation data;7107;2034
1587052497190;Fixation end;;
1587052497212;Fixation begin;7603;2123
1587052497223;Fixation end;;
1587052497234;Fixation begin;7799;2140
1587052497244;Fixation data;7795;2142
1587052497255;Fixation data;7784;2143
1587052497267;Fixation data;7776;2145
1587052497278;Fixation data;7779;2147
1587052497288;Fixation data;7789;2150
1587052497300;Fixation begin;7796;2151
1587052497311;Fixation data;7795;2149
1587052497322;Fixation data;7793;2145
1587052497334;Fixation data;7793;2141
1587052497346;Fixation data;7795;2143
1587052497356;Fixation data;7794;2143
1587052497367;Fixation data;7791;2139
1587052497379;Fixation data;7786;2132
1587052497390;Fixation data;7780;2129
1587052497401;Fixation data;7779;2133
1587052497412;Fixation begin;7785;2141
1587052497422;Fixation data;7794;2142
1587052497434;Fixation data;7808;2147
1587052497445;Fixation data;7813;2151
1587052497455;Fixation data;7807;2154
1587052497467;Fixation data;7794;2152
1587052497489;Fixation begin;7758;2156
1587052497500;Fixation data;7761;2158
1587052497511;Fixation data;7776;2157
1587052497522;Fixation begin;7798;2157
1587052497533;Fixation data;7796;2155
1587052497545;Fixation begin;7780;2145
1587052497555;Fixation data;7768;2142
1587052497567;Fixation data;7755;2139
1587052497578;Fixation data;7751;2142
1587052497589;Fixation data;7760;2146
1587052497600;Fixation begin;7786;2149
1587052497611;Fixation data;7787;2151
1587052497623;Fixation data;7788;2158
1587052497634;Fixation data;7785;2164
1587052497667;Fixation begin;7768;2141
1587052497678;Fixation data;7759;2145
1587052497689;Fixation data;7760;2149
1587052497700;Fixation data;7768;2154
1587052497711;Fixation begin;7802;2153
1587052497722;Fixation data;7787;2155
1587052497734;Fixation data;7765;2159
1587052497745;Fixation data;7736;2168
1587052497755;Fixation end;;
1587052497767;Fixation begin;7588;2289
1587052497778;Fixation data;7586;2296
1587052497789;Fixation data;7589;2305
1587052497800;Fixation begin;7587;2312
1587052497811;Fixation data;7587;2309
1587052497822;Fixation begin;7583;2291
1587052497833;Fixation data;7592;2293
1587052497845;Fixation begin;7621;2297
1587052497855;Fixation data;7619;2300
1587052497867;Fixation data;7615;2301
1587052497878;Fixation data;7606;2300
1587052497889;Fixation data;7599;2295
1587052497900;Fixation data;7592;2292
1587052497911;Fixation begin;7590;2290
1587052497922;Fixation data;7596;2291
1587052497934;Fixation data;7604;2291
1587052497944;Fixation begin;7608;2293
1587052497955;Fixation data;7602;2295
1587052497966;Fixation begin;7578;2299
1587052497977;Fixation data;7578;2299
1587052497988;Fixation begin;7590;2300
1587052498000;Fixation data;7597;2300
1587052498012;Fixation data;7607;2300
1587052498022;Fixation data;7622;2305
1587052498033;Fixation data;7633;2308
1587052498066;Fixation begin;7724;2140
1587052498076;Fixation data;7717;2138
1587052498133;Fixation begin;7616;2367
1587052498143;Fixation end;;
1587052498199;Fixation begin;7475;2293
